Category,Item,URL,Qty,UnitPrice,LineTotal,Notes,Type
Rear caster,Omni wheel (nearest similar),https://www.amazon.com/dp/B0DDVJS42J,1,$12.21,$12.21,Aspirational for builder; not on Stormy - set Qty=1 if you are building fresh,Component
Drivetrain,Pololu #4753 50:1 37Dx70L 12V + 64 CPR encoder motor,https://www.pololu.com/product/4753,2,$60.95,$121.90,,Component
Drivetrain,"BaneBots wheel 4-7/8"" x 0.8"" 50A blue",https://banebots.com/banebots-wheel-4-7-8-x-0-8-hub-mount-50a-blue/,2,$5.00,$10.00,,Component
Drivetrain,BaneBots T81 hub 6mm shaft,https://banebots.com/t81-hub-6mm-shaft/,2,$4.50,$9.00,,Component
CPU,52Pi PD power extension board,https://52pi.com/collections/raspberry-pi-1/products/52pi-pd-power-extension-adapter-board-for-raspberry-pi-5,1,$22.94,$22.94,,Component
CPU,Raspberry Pi 5 8GB,https://www.raspberrypi.com/products/raspberry-pi-5/,1,$169.99,$169.99,,Component
CPU,PCIe HAT (Geekworm X1001),https://www.amazon.com/dp/B0CPPGGDQT,1,$13.90,$13.90,,Component
CPU,Ediloca EN600 PRO 256GB NVMe SSD,https://www.amazon.com/dp/B0C5D6C1YQ,1,$54.99,$54.99,,Component
Power,Zeee 14.8V 9000mAh 4S LiPo,https://www.amazon.com/dp/B09NKCKWV3,2,$76.50,$152.99,,Component
Power,LiPo low-voltage screamer,https://www.amazon.com/dp/B08YY5ZL93,4,$2.15,$8.59,,Component
Power,Emergency stop mushroom (JMAF equivalent),https://www.amazon.com/dp/B07BCY7HGN,2,$5.00,$9.99,Actual on Stormy is Chinese-labelled; this is US-sourced equivalent,Component
Power,Pololu 3779 shunt regulator,https://www.pololu.com/product/3779,1,$23.33,$23.33,,Component
Power,RoboClaw 2x7A V5c,https://www.basicmicro.com/Roboclaw-2x7A-Motor-Controller_p_55.html,1,$79.95,$79.95,,Component
Power,Remote kill switch RF receiver + 2 fobs,https://www.amazon.com/dp/B08D39XWS5,1,$9.99,$9.99,,Component
Power,Eagle Eye Led Light Bulbs 9W DC12V 12mm,https://www.amazon.com/dp/B06ZYKWQZC,10,$1.35,$13.50,2 needed,Component
Power,DPDT slide switch (headlights + RoboClaw reset),https://www.amazon.com/dp/B09V77VCF7,20,$0.35,$6.99,3 needed,Component
Bus protection,15 A slow-blow 5x20 mm ceramic fuse,https://www.amazon.com/dp/B0CRVLV5LY,10,$0.60,$5.99,,Component
Bus protection,Panel-mount fuse holder (Jameco 18703),https://www.jameco.com/webapp/wcs/stores/servlet/ProductDisplay?storeId=10001&langId=-1&catalogId=10001&pa=18703&productId=18703,1,$1.75,$1.75,,Component
Bus protection,Schottky STPS10L25D,https://www.digikey.com/en/products/detail/STPS10L25D/497-2738-5-ND/603763,1,$2.66,$2.66,,Component
LIDAR,Youyeetoo FHL-LD19,https://www.amazon.com/dp/B0B1QCV4XR,1,$71.90,$71.90,Youyeetoo direct: https://www.youyeetoo.com,Component
IMU,Adafruit BNO085 STEMMA QT breakout,https://www.adafruit.com/product/4754,1,$24.95,$24.95,,Component
Camera,Luxonis OAK-D,https://shop.luxonis.com/products/oak-d,1,$329.00,$329.00,Currently installed,Component
Camera,Fisheye (Spinel UC50MPB) - historical,https://www.spinelelectronics.com/product/uc50mpb/,0,$71.00,$0.00,Historical alternate - not on Stormy,Component
Camera,Intel RealSense D455 - historical,https://www.amazon.com/dp/B08KJCRCGG,0,$549.00,$0.00,Historical alternate - not on Stormy,Component
Indicators,Sabrent USB audio DAC,https://www.amazon.com/dp/B00IRVQ0F8,1,$8.99,$8.99,,Component
Indicators,Mini 8-ohm speaker (4-pack),https://www.amazon.com/dp/B0B4D1BN4F,4,$2.50,$9.99,Only 1 speaker used,Component
Indicators,Custom indicators PCB (JLCPCB fabrication),https://jlcpcb.com/,5,$0.40,$54.85,inc shipping & duty,Component
Networking,Realtek RTL8812BU USB WiFi + 5 dBi antenna,https://www.amazon.com/dp/B078NSSM7W,1,$18.98,$18.98,,Component
Networking,Powered USB 3.0 hub 4-port (Acer),https://www.amazon.com/dp/B0CPSSD43L,1,$15.99,$15.99,Currently bus-powered from Pi; power-capable,Component
Structural,"Novabright cast acrylic 1/4"" x 12"" x 12""",https://www.amazon.com/dp/B0GSVXQC45,6,$8.17,$48.99,One sheet cuts full plate set,Supply
Indicators,IRLZ44N logic-level MOSFET,https://www.amazon.com/dp/B0CBKH4XGL,10,$1.00,$9.99,"3 used, From Builder's Manual",Supply
Indicators,6 color x 20 ea 5mm LED assortment,https://www.amazon.com/dp/B08G4XCQSW,120,$0.11,$12.99,4 amber used From Builder's Manual,Supply
Connectors,PowerPole 150-piece assortment case,https://powerwerx.com/150-piece-anderson-powerpole-connector-case,1,$49.99,$49.99,,Supply
Connectors,EC5 LiPo battery connectors male/female,https://www.amazon.com/dp/B08M3WND19,10,$0.80,$7.99,,Supply
Connectors,DC power plugs / barrel plug pigtails,https://www.amazon.com/dp/B01G6EB99E,10,$0.80,$7.99,2 needed,Supply
Wire,14 AWG silicone parallel wire (LiPo bus),https://www.amazon.com/dp/B07RSRBZZD,1,$19.98,$19.98,,Supply
Wire,16 AWG silicone parallel wire (subsystem feeds),https://www.amazon.com/dp/B07FMLVF84,1,$17.88,$17.88,,Supply
Wire,18 AWG silicone parallel wire (signal),https://www.amazon.com/dp/B07RVMHSK4,1,$10.98,$10.98,,Supply
Wire,20 AWG silicone parallel wire (signal),https://www.amazon.com/dp/B07K9JKXM9,1,$21.98,$21.98,,Supply
Fasteners,M2.5 x 18mm + 6mm brass hex standoffs (52Pi stack),https://www.amazon.com/dp/B0FP2QGTD4,10,$0.57,$5.69,4 used,Supply
Fasteners,"Nylon 1.5"" x 1/4"" 4-40 standoffs (McMaster)",https://www.mcmaster.com/products/nylon-spacers/standoffs-2~/standoffs-2~shape~hex/thread-size~4-40/length~1-500/length~1-1-2/?s=nylon-spacers,3,$0.67,$2.01,LiDAR triangle mount,Supply
Fasteners,Essentra nylon thumbscrew (DigiKey 090440037T),https://www.digikey.com/en/products/detail/essentra-components/090440037T/10243363,25,$0.19,$4.64,,Supply
Mounting,Foam tape,https://www.amazon.com/dp/B007Y7ITMS,1,$6.98,$6.98,,Supply
Mounting,Velcro straps,https://www.amazon.com/dp/B071DGMNMX,20,$0.45,$8.95,2 used,Supply
Mounting,Velcro mounting squares,https://www.amazon.com/dp/B09S163TNK,1,$4.67,$4.67,,Supply
Labeling,Swordfish 61190 heat-shrink assorted-color kit,https://www.amazon.com/dp/B00VDVT7IG,1,$14.99,$14.99,,Supply
Battery maintenance,LiPo balance charger / discharger,https://www.amazon.com/dp/B0GSKJYK1B,1,$31.99,$31.99,,Tool
Connectors,PowerPole TriCrimp crimper,https://powerwerx.com/tricrimp-powerpole-connector-crimping-tool,1,$39.99,$39.99,Tool - one-time,Tool
Connectors,PowerPole insertion / removal / extraction tool,https://powerwerx.com/powerpole-insertion-removal-extraction-tool,1,$9.99,$9.99,Tool - one-time,Tool
